N bc_time wc_time
5630 0.002537 0.003690
5640 0.002540 0.003666
5650 0.002540 0.003688
5660 0.002566 0.003698
5670 0.002576 0.003719
5680 0.002580 0.003723
5690 0.002593 0.003733
5700 0.002602 0.003744
5710 0.002610 0.003765
5720 0.002629 0.003773
5730 0.002637 0.003793
5740 0.002652 0.003803
5750 0.002664 0.003815
5760 0.002673 0.003830
5770 0.002683 0.003838
5780 0.002697 0.003857
5790 0.002718 0.003886
5800 0.002731 0.003900
5810 0.002766 0.003953
5820 0.002779 0.003970
5830 0.002801 0.003988
5840 0.002811 0.003998
5850 0.002833 0.004020
5860 0.002838 0.004030
5870 0.002844 0.004044
5880 0.002857 0.004058
5890 0.002871 0.004063
5900 0.002880 0.004071
5910 0.002894 0.004084
5920 0.002907 0.004072
5930 0.002844 0.004045
5940 0.002882 0.004066
5950 0.002897 0.004080
5960 0.002905 0.004094
5970 0.002967 0.004126
5980 0.002922 0.004113
5990 0.002940 0.004136
6000 0.002969 0.004153
6010 0.002978 0.004158
6020 0.002987 0.004180
6030 0.002998 0.004404
6040 0.003075 0.004519
6050 0.003031 0.004239
6060 0.003057 0.004237
6070 0.003062 0.004246
6080 0.003063 0.004265
6090 0.003085 0.004276
6100 0.003091 0.004298
6110 0.003108 0.004296
6120 0.003114 0.004308
6130 0.003126 0.004340
6140 0.003115 0.004353
6150 0.003150 0.004350
6160 0.003150 0.004376
6170 0.003159 0.004407
6180 0.003171 0.004399
6190 0.003168 0.004407
6200 0.003174 0.004420
6210 0.003178 0.004451
6220 0.003187 0.004449
6230 0.003187 0.004461
6240 0.003190 0.004485
6250 0.003202 0.005702
6260 0.003210 0.004550
6270 0.003218 0.004541
6280 0.003238 0.004567
6290 0.003230 0.004564
6300 0.003230 0.004567
6310 0.003241 0.004592
6320 0.003255 0.004602
6330 0.003254 0.004607
6340 0.003253 0.004620
6350 0.003257 0.004646
6360 0.003260 0.004650
6370 0.003266 0.004669
6380 0.003277 0.004684
6390 0.003274 0.004704
6400 0.003291 0.004719
6410 0.003286 0.004727
6420 0.003291 0.004743
6430 0.003296 0.004757
6440 0.003302 0.004797
6450 0.003319 0.006073
6460 0.003357 0.004824
6470 0.003331 0.004826
6480 0.003329 0.004831
6490 0.003333 0.004849
6500 0.003333 0.004860
6510 0.003347 0.004882
6520 0.003346 0.004894
6530 0.003352 0.004915
6540 0.003358 0.004921
6550 0.003362 0.004941
6560 0.003367 0.004949
6570 0.003375 0.004967
6580 0.003376 0.004982
6590 0.003386 0.004999
6600 0.003393 0.005008
6610 0.003394 0.005029
6620 0.003403 0.005044
6630 0.003403 0.005060
6640 0.003411 0.005073
6650 0.003421 0.005087
6660 0.003420 0.005104
6670 0.003427 0.005116
6680 0.003430 0.005130
6690 0.003435 0.005151
6700 0.003437 0.005165
6710 0.003441 0.005183
6720 0.003452 0.005192
6730 0.003459 0.005215
6740 0.003462 0.005229
6750 0.003467 0.005246
6760 0.003486 0.005282
6770 0.003478 0.005277
6780 0.003485 0.005292
6790 0.003486 0.005308
6800 0.003489 0.005324
6810 0.003500 0.005339
6820 0.003504 0.005355
6830 0.003509 0.005371
6840 0.003517 0.005384
6850 0.003519 0.005406
6860 0.003523 0.005418
6870 0.003529 0.005448
6880 0.003545 0.005479
6890 0.003541 0.005473
6900 0.003553 0.005486
6910 0.003551 0.005503
6920 0.003556 0.005520
6930 0.003559 0.005532
6940 0.003568 0.005567
6950 0.003621 0.005756
6960 0.003529 0.005603
6970 0.003586 0.005616
6980 0.003599 0.005636
6990 0.003592 0.005652
7000 0.003601 0.005661
7010 0.003617 0.005691
7020 0.003609 0.005699
7030 0.003616 0.005717
7040 0.003621 0.005729
7050 0.003626 0.005741
7060 0.003628 0.005757
7070 0.003635 0.005783
7080 0.003641 0.005801
7090 0.003649 0.005810
7100 0.003658 0.005835
7110 0.003658 0.005842
7120 0.003664 0.005864
7130 0.003665 0.005872
7140 0.003681 0.005889
7150 0.003675 0.005908
7160 0.003682 0.005933
7170 0.003690 0.005941
7180 0.003689 0.005972
7190 0.003696 0.005977
7200 0.003702 0.006003
7210 0.003778 0.006308
7220 0.003738 0.006079
7230 0.003733 0.006061
7240 0.004960 0.006042
7250 0.003731 0.006070
7260 0.003742 0.006094
7270 0.003745 0.006097
7280 0.003745 0.006128
7290 0.003792 0.006148
7300 0.003778 0.006152
7310 0.003766 0.006169
7320 0.003755 0.006179
7330 0.003771 0.006203
7340 0.003783 0.006223
7350 0.003788 0.006243
7360 0.003788 0.006259
7370 0.003792 0.006315
7380 0.003799 0.006310
7390 0.003824 0.006331
7400 0.003814 0.006331
